model,condition,metric,n,baseline_mean,rag_mean,delta,t,dz,p_value,significant_at_05
llama3-8b,few_shot,bertscore_f1,52,0.8444,0.8682,0.0238,6.104,0.846,1.41e-07,True
llama3-8b,few_shot,rouge_l,52,0.1405,0.2251,0.0846,5.184,0.719,3.76e-06,True
llama3-8b,zero_shot,bertscore_f1,52,0.8391,0.8671,0.028,8.271,1.147,5.49e-11,True
llama3-8b,zero_shot,rouge_l,52,0.1315,0.224,0.0925,6.479,0.898,3.62e-08,True
mistral-7b,few_shot,bertscore_f1,52,0.8604,0.8667,0.0063,1.355,0.188,0.181,False
mistral-7b,few_shot,rouge_l,52,0.1695,0.2071,0.0376,2.17,0.301,0.0347,True
mistral-7b,zero_shot,bertscore_f1,52,0.861,0.866,0.0049,1.071,0.149,0.289,False
mistral-7b,zero_shot,rouge_l,52,0.171,0.1949,0.0239,1.259,0.175,0.214,False
