chunk_size,overlap_x,n_passages,recall@1,recall@3,recall@5,mrr,overlap_y,probes_covered_k3,probes_covered_k5,probes_covered_k8
30,8.0,245.0,0.4423076923076923,0.6153846153846154,0.7115384615384616,0.5551657598070938,,,,
40,10.0,188.0,0.4615384615384615,0.6153846153846154,0.75,0.5725268976693678,10.0,2.0,3.0,3.0
60,15.0,123.0,0.5,0.5769230769230769,0.7115384615384616,0.5844668924715241,15.0,3.0,4.0,4.0
80,20.0,97.0,0.4807692307692308,0.6346153846153846,0.7115384615384616,0.5893543645918261,,,,
90,,,,,,,25.0,3.0,3.0,4.0
120,30.0,72.0,0.4807692307692308,0.6730769230769231,0.7115384615384616,0.587405000569371,30.0,4.0,4.0,4.0
160,,,,,,,40.0,4.0,4.0,4.0
200,50.0,53.0,0.4807692307692308,0.6538461538461539,0.6923076923076923,0.5914248383592275,,,,
