bucket,n_pairs,baseline_rate,rag_rate,difference,ci_low,ci_high,p_value,cohens_dz
owes a next step,40,0.525,0.325,-0.2,-0.4196727249084602,0.0196727249084601,0.0731558485799709,-0.2911745330478821
required,28,0.4285714285714285,0.2857142857142857,-0.1428571428571428,-0.4163182033940553,0.1306039176797696,0.2932598629652229,-0.2025671114728546
expected,12,0.75,0.4166666666666667,-0.3333333333333333,-0.7471743566122148,0.0805076899455481,0.103915722663214,-0.511766315719159
optional,168,0.2797619047619047,0.3333333333333333,0.0535714285714285,-0.0411032518076608,0.1482461089505179,0.2655407142509602,0.0861889313590451
