run,measure,n,baseline,rag,delta,t,p,dz
llama3-8b few_shot,quality_score,52,2.019230769230769,2.4423076923076925,0.4230769230769231,3.0014594989917143,0.0041520748651349,0.4162275432631955
llama3-8b few_shot,hallucination_flag,52,0.3846153846153846,0.0961538461538461,-0.2884615384615384,-3.878056018121122,0.0003026591953459,-0.5377896085560543
llama3-8b few_shot,truncated,52,0.0384615384615384,0.0,-0.0384615384615384,-1.4282856857085702,0.1593054006600366,-0.1980675875320574
llama3-8b zero_shot,quality_score,52,1.9423076923076923,2.5,0.5576923076923077,4.732587984807315,1.7985077743539753e-05,0.6562918709564448
llama3-8b zero_shot,hallucination_flag,52,0.5384615384615384,0.1346153846153846,-0.4038461538461538,-4.832715612046284,1.2755699237365972e-05,-0.6701770745757005
llama3-8b zero_shot,truncated,52,0.0384615384615384,0.0,-0.0384615384615384,-1.4282856857085702,0.1593054006600366,-0.1980675875320574
mistral-7b few_shot,quality_score,52,2.0,1.8461538461538465,-0.1538461538461538,-1.0705453823777566,0.2894142943803442,-0.1484579334182386
mistral-7b few_shot,hallucination_flag,52,0.2884615384615384,0.1153846153846153,-0.173076923076923,-2.9005933798437664,0.0054841591668797,-0.4022399292422344
mistral-7b few_shot,truncated,52,0.0769230769230769,0.3653846153846153,0.2884615384615384,4.172858323228332,0.0001171597166081,0.5786713326787091
mistral-7b zero_shot,quality_score,52,1.9615384615384612,1.7692307692307692,-0.1923076923076923,-1.2183119679385703,0.2287115442878722,-0.1689494719197675
mistral-7b zero_shot,hallucination_flag,52,0.3076923076923077,0.0961538461538461,-0.2115384615384615,-2.8439077466221563,0.0063973844163274,-0.3943790462744398
mistral-7b zero_shot,truncated,52,0.0961538461538461,0.3269230769230769,0.2307692307692307,3.0451153135353137,0.0036749920756089,0.4222815154866222
ALL,quality_score,208,1.9807692307692308,2.139423076923077,0.1586538461538461,2.153169588223705,0.032461760641229,0.1492954491367356
ALL,hallucination_flag,208,0.3798076923076923,0.110576923076923,-0.2692307692307692,-7.277778331417718,6.921046535792088e-12,-0.5046231335651411
ALL,truncated,208,0.0625,0.173076923076923,0.110576923076923,3.800077735415394,0.0001901832328316,0.2634879831882554
