model,condition,rag,bertscore_mean,bertscore_ci95,rougeL_mean,rougeL_ci95,degenerate,n
llama3-8b,few_shot,False,0.8443843940129647,0.004351854462158864,0.14046133267650604,0.011246246572154523,0,52
llama3-8b,few_shot,True,0.8681780535441178,0.007055274171241054,0.2250576642476361,0.03271283388976108,0,52
llama3-8b,zero_shot,False,0.8391303339829812,0.003833321542437832,0.13152509124571574,0.00981217835548477,0,52
llama3-8b,zero_shot,True,0.8670879247096869,0.006878033492317708,0.2239984164045869,0.028416329659387948,0,52
mistral-7b,few_shot,False,0.8604309180608163,0.005484170382743378,0.16951573036577627,0.013546680757771972,0,52
mistral-7b,few_shot,True,0.8667363180564001,0.01079357712880815,0.207126565496134,0.036036793988377294,0,52
mistral-7b,zero_shot,False,0.8610279525701816,0.005294522438639938,0.1710470434598439,0.012483993902880991,0,52
mistral-7b,zero_shot,True,0.8659614003621615,0.00974966910579989,0.19492610983165728,0.03756410347563945,0,52
